local_year_month,organization,Unnamed: 0,id,region,local,lat,long,date,chla,tss,secchi,acdom440,B1,B2,B3,B4,station_id,organization.1,predicted
Arapiuns_2021_09,LabISA-INPE,6,146,AMZ,Arapiuns,-2.298028,-55.02086,2021-09-09,6.64,2.3,2.6,,0.002581520159323,0.0035326447903912,0.0027044666848444,0.0002933674818881,Arapiuns_08_2021_Ponto_01,LabISA-INPE,3.3661027
Arapiuns_2021_09,LabISA-INPE,7,146,AMZ,Arapiuns,-2.307813,-55.06762,2021-09-09,6.49,1.1,2.58,,0.0022190924197308,0.0030865539256337,0.0023895885648001,0.0003027926583909,Arapiuns_08_2021_Ponto_02,LabISA-INPE,3.117672
Arapiuns_2021_09,LabISA-INPE,8,146,AMZ,Arapiuns,-2.345434,-55.10521,2021-09-09,4.94,1.2,2.5,,0.0022331644488133,0.0030684865419245,0.0023425479585985,0.0002253496989031,Arapiuns_08_2021_Ponto_03,LabISA-INPE,3.3859591
Arapiuns_2021_09,LabISA-INPE,10,146,AMZ,Arapiuns,-2.354587,-54.91198,2021-09-10,4.19,11.0,0.71,,0.0086294487855499,0.0155211382136705,0.0172655050165328,0.003818129881979,ARTAAM_08_2021_Ponto_01,LabISA-INPE,0.5728429
BuaBua_2015_07,LabISA-INPE,14,88,AMZ,BuaBua,-2.88411,-64.9763,2015-07-10,0.30455,2.3,1.82,1.25,0.0045644093870758,0.00750575975919,0.0071239725357447,0.0009743054010572,BuaBua_07_2015_Ponto_01,LabISA-INPE,0.9306481
BuaBua_2015_07,LabISA-INPE,15,88,AMZ,BuaBua,-2.89961,-64.9853,2015-07-10,0.37,1.6,1.9,1.37,0.0052726053477652,0.0072160997184728,0.0065319102155011,0.0012251886213174,BuaBua_07_2015_Ponto_02,LabISA-INPE,0.92859924
BuaBua_2015_07,LabISA-INPE,16,88,AMZ,BuaBua,-2.90084,-64.975,2015-07-10,0.593167,4.9,1.85,1.33,0.0050265052518028,0.0073122156220698,0.006703771869881,0.0010244832695285,BuaBua_07_2015_Ponto_03,LabISA-INPE,1.0687212
BuaBua_2016_08,LabISA-INPE,17,92,AMZ,BuaBua,-2.88453,-64.9766,2016-08-01,6.41,6.7145,1.6,2.99,0.0035691624942334,0.004726240280384,0.0045714322899869,0.0011582555601354,BuaBua_07_2016_Ponto_01,LabISA-INPE,1.0515378
BuaBua_2016_08,LabISA-INPE,18,92,AMZ,BuaBua,-2.88467,-64.9762,2016-08-13,19.325,5.0,1.6,2.39,0.0018255129051762,0.0026427276750147,0.002402027184068,0.0004952794424288,BuaBua_07_2016_Ponto_01_R,LabISA-INPE,2.2500236
BuaBua_2016_08,LabISA-INPE,19,92,AMZ,BuaBua,-2.90015,-64.986,2016-08-01,2.66,5.5715,1.9,2.83,0.0026475941447102,0.0034989535632478,0.0032440643537856,0.0004601293891126,BuaBua_07_2016_Ponto_02,LabISA-INPE,1.5882299
