local_year_month,organization,Unnamed: 0,id,region,local,lat,long,date,chla,tss,secchi,acdom440,B1,B2,B3,B4,station_id,organization.1,predicted
Curuai_2016_03,LabISA-INPE,70,14,AMZ,Curuai,-2.11651,-55.4125,2016-03-15,35.885,39.75,0.28,1.03951,0.0257844937858879,0.0417671059877563,0.0449663878237352,0.0172792951133535,Curuai_03_2016_Ponto_01,LabISA-INPE,0.35882294
Curuai_2016_03,LabISA-INPE,71,14,AMZ,Curuai,-2.11405,-55.4461,2016-03-15,34.44,51.0,0.28,0.931135,0.0207717906023699,0.0335526014116748,0.0365573355734719,0.0141768929696648,Curuai_03_2016_Ponto_02,LabISA-INPE,0.19642578
Curuai_2016_03,LabISA-INPE,72,14,AMZ,Curuai,-2.25617,-55.53,2016-03-14,34.785,48.665,0.18,0.88101,0.0268100710154669,0.0392747623704511,0.0427763475050287,0.0228583545174607,Curuai_03_2016_Ponto_03,LabISA-INPE,0.18226878
Curuai_2016_03,LabISA-INPE,73,14,AMZ,Curuai,-2.15449,-55.5734,2016-03-15,24.335,35.25,0.26,0.988032,0.020737585926969,0.0325359922946327,0.0347460043426581,0.012737699962277,Curuai_03_2016_Ponto_04,LabISA-INPE,0.19371113
Curuai_2016_03,LabISA-INPE,74,14,AMZ,Curuai,-2.25617,-55.53,2016-03-14,42.32,37.0,0.28,1.01242,0.0192947711130707,0.0295126994473449,0.0313417765649548,0.0123483383105598,Curuai_03_2016_Ponto_05,LabISA-INPE,0.17027718
Curuai_2016_03,LabISA-INPE,75,14,AMZ,Curuai,-2.25617,-55.53,2016-03-14,35.235,73.665,0.18,0.727477,0.026528312771911,0.0385879762273954,0.04263283868835,0.0251785242183038,Curuai_03_2016_Ponto_06,LabISA-INPE,0.13834262
Curuai_2016_03,LabISA-INPE,76,14,AMZ,Curuai,-2.25617,-55.53,2016-03-14,24.045,60.0,0.19,0.871979,0.0267412444107664,0.0396506831447995,0.043488321507836,0.0228298172383498,Curuai_03_2016_Ponto_07,LabISA-INPE,0.18156523
Curuai_2016_03,LabISA-INPE,77,14,AMZ,Curuai,-2.12949,-55.5436,2016-03-15,15.695,29.0,0.28,0.849852,0.0199697771486789,0.0310997882183688,0.0327153300040211,0.0107051882219977,Curuai_03_2016_Ponto_08,LabISA-INPE,0.19825625
Curuai_2016_03,LabISA-INPE,78,14,AMZ,Curuai,-2.25617,-55.53,2016-03-13,18.385,20.5,0.4,1.2391,0.0225408948359725,0.0337457206757428,0.0336540855904218,0.0139123926313819,Curuai_03_2016_Ponto_09,LabISA-INPE,0.21252811
Curuai_2016_03,LabISA-INPE,79,14,AMZ,Curuai,-2.25617,-55.53,2016-03-13,18.225,24.25,0.33,1.01874,0.0219902726922261,0.0327678706483407,0.0337922148452795,0.0133326578563607,Curuai_03_2016_Ponto_10,LabISA-INPE,0.19851819
