local_year_month,organization,Unnamed: 0,id,region,local,lat,long,date,chla,tss,secchi,acdom440,B1,B2,B3,B4,station_id,organization.1,predicted
BuaBua_2015_07,LabISA-INPE,14,88,AMZ,BuaBua,-2.88411,-64.9763,2015-07-10,0.30455,2.3,1.82,1.25,0.0043078343882655,0.0073881309063471,0.0071038093829896,0.0009909555588115,BuaBua_07_2015_Ponto_01,LabISA-INPE,1.0103296
BuaBua_2015_07,LabISA-INPE,15,88,AMZ,BuaBua,-2.89961,-64.9853,2015-07-10,0.37,1.6,1.9,1.37,0.0051213549699125,0.0071759064608348,0.0065102641467043,0.0012403621680489,BuaBua_07_2015_Ponto_02,LabISA-INPE,0.980195
BuaBua_2015_07,LabISA-INPE,16,88,AMZ,BuaBua,-2.90084,-64.975,2015-07-10,0.593167,4.9,1.85,1.33,0.0048392146867299,0.0072510823398509,0.0066809643549612,0.0010404068969191,BuaBua_07_2015_Ponto_03,LabISA-INPE,1.0261183
Curuai_2012_02,LabISA-INPE,48,38,AMZ,Curuai,-2.173082528,-55.59713729,2012-02-04,8.85,30.2,0.25,,0.0257244625937444,0.0351349573419287,0.0383261954583115,0.0249812560451648,Curuai_02_2013_Ponto_P11,LabISA-INPE,0.20516089
Curuai_2012_02,LabISA-INPE,59,38,AMZ,Curuai,-2.258387578,-55.62288705,2012-02-06,6.15,12.85,0.37,,0.0173046920061306,0.023359479581934,0.0261195801683872,0.015732197793424,Curuai_02_2013_Ponto_P22,LabISA-INPE,0.06756275
Curuai_2016_07,LabISA-INPE,375,28,AMZ,Curuai,-2.06426,-55.4821,2016-07-15,6.715,26.3335,0.3,2.1314,0.013308311981147,0.0237435728974234,0.0279761954456353,0.0092585541163084,Curuai_07_2016_Ponto_01,LabISA-INPE,0.37598643
Curuai_2016_07,LabISA-INPE,376,28,AMZ,Curuai,-2.08211,-55.5253,2016-07-15,85.045,38.8,0.31,2.41996,0.0107140113172281,0.0214693302039449,0.0213516921127886,0.0121436889788689,Curuai_07_2016_Ponto_02,LabISA-INPE,0.54159
Curuai_2016_07,LabISA-INPE,377,28,AMZ,Curuai,-2.06219,-55.6523,2016-07-16,6.41,29.857,0.28,2.22262,0.0121591719125647,0.0227929200230158,0.0282921470714925,0.0097497656457241,Curuai_07_2016_Ponto_03,LabISA-INPE,0.28330377
Curuai_2016_07,LabISA-INPE,378,28,AMZ,Curuai,-2.13788,-55.5496,2016-07-15,21.67,45.0,0.28,1.75434,0.0140687312897149,0.0261037256053273,0.0248883785669724,0.0152947681438802,Curuai_07_2016_Ponto_04,LabISA-INPE,0.49352825
Curuai_2016_07,LabISA-INPE,379,28,AMZ,Curuai,-2.10493,-55.6974,2016-07-16,11.045,44.143,0.2,1.69022,0.0147825293021695,0.0264157514130583,0.0314110391318919,0.0132134029716264,Curuai_07_2016_Ponto_05,LabISA-INPE,0.2748114
Curuai_2016_07,LabISA-INPE,380,28,AMZ,Curuai,-2.13594,-55.7172,2016-07-16,24.58,49.6665,0.23,2.04199,0.0131211548970448,0.0245128616436248,0.0282962897197407,0.0122857715652406,Curuai_07_2016_Ponto_06,LabISA-INPE,0.40804586
Curuai_2016_07,LabISA-INPE,381,28,AMZ,Curuai,-2.11722,-55.6173,2016-07-16,9.01,24.0,0.3,1.89749,0.013867987029656,0.0257220391244824,0.0306508868703127,0.0099787660701363,Curuai_07_2016_Ponto_07,LabISA-INPE,0.29271936
Curuai_2016_07,LabISA-INPE,382,28,AMZ,Curuai,-2.18546,-55.6335,2016-07-15,72.595,45.8335,0.28,2.15624,0.0126424210444914,0.0247406964617756,0.0255027799829297,0.011460007354941,Curuai_07_2016_Ponto_08,LabISA-INPE,0.52172333
Curuai_2016_07,LabISA-INPE,383,28,AMZ,Curuai,-2.25594,-55.5307,2016-07-17,41.65,21.4285,0.55,1.6261,0.0105644437046902,0.019356663667598,0.0194419939795636,0.0067001719950777,Curuai_07_2016_Ponto_09,LabISA-INPE,0.53851193
Curuai_2016_07,LabISA-INPE,384,28,AMZ,Curuai,-2.27046,-55.4506,2016-07-17,31.66,25.5715,0.45,1.80944,0.0119705397028302,0.022582070808213,0.0225277734188334,0.0074724277129959,Curuai_07_2016_Ponto_10,LabISA-INPE,0.553704
Curuai_2016_07,LabISA-INPE,385,28,AMZ,Curuai,-2.26456,-55.3784,2016-07-17,30.6,23.7145,0.39,1.79634,0.0123751239876049,0.0224742700151201,0.0230643768274685,0.0079576601684093,Curuai_07_2016_Ponto_11,LabISA-INPE,0.5300407
Curuai_2016_07,LabISA-INPE,386,28,AMZ,Curuai,-2.25583,-55.3043,2016-07-17,57.355,34.1337,0.34,2.12328,0.0145792359759538,0.0281442921480287,0.029474269493492,0.0109609044888111,Curuai_07_2016_Ponto_12,LabISA-INPE,0.4849956
Curuai_2016_07,LabISA-INPE,387,28,AMZ,Curuai,-2.21266,-55.2786,2016-07-14,35.845,33.5,0.38,1.58455,0.0148891529432474,0.0265976910940505,0.0273650023318986,0.0103626376856329,Curuai_07_2016_Ponto_13,LabISA-INPE,0.50232
Curuai_2016_07,LabISA-INPE,388,28,AMZ,Curuai,-2.24447,-55.2457,2016-07-14,10.26,32.75,0.45,1.60217,0.0128041086229094,0.0222716225528653,0.0231972415851709,0.0069640799468065,Curuai_07_2016_Ponto_14,LabISA-INPE,0.51160073
Curuai_2016_07,LabISA-INPE,389,28,AMZ,Curuai,-2.21397,-55.2039,2016-07-14,5.25,18.75,0.37,1.72093,0.014519804860544,0.0260646972535773,0.0298550405377626,0.0080560871766102,Curuai_07_2016_Ponto_15,LabISA-INPE,0.3720302
Curuai_2016_07,LabISA-INPE,390,28,AMZ,Curuai,-2.26109,-55.1612,2016-07-14,25.5,41.5,0.35,1.71415,0.0166512262304922,0.0280362002628294,0.0301365656691029,0.0117912128826403,Curuai_07_2016_Ponto_16,LabISA-INPE,0.47348464
Curuai_2019_08,LabISA-INPE,441,43,AMZ,Curuai,-2.175,-55.43,2019-08-25,20.14,21.5,0.5,,0.0091679293844265,0.0168156835192765,0.0188910612341857,0.006057121295644,Curuai_08_2019_Ponto_01,LabISA-INPE,0.58974797
Curuai_2019_08,LabISA-INPE,442,43,AMZ,Curuai,-2.154,-55.46,2019-08-25,17.99,8.5,0.7,,0.0077576545288375,0.0142909969893538,0.0151428546983761,0.0034820917452157,Curuai_08_2019_Ponto_02,LabISA-INPE,0.65524673
Curuai_2019_08,LabISA-INPE,443,43,AMZ,Curuai,-2.177,-55.51,2019-08-25,17.52,13.0,0.67,,0.0072838300115915,0.0138843727887636,0.0145968140985761,0.003439791961574,Curuai_08_2019_Ponto_03,LabISA-INPE,0.68495053
Curuai_2019_08,LabISA-INPE,444,43,AMZ,Curuai,-2.232,-55.5,2019-08-25,19.12,7.75,0.75,,0.0062429295257127,0.0111620686094365,0.0116266181170495,0.0027139240919094,Curuai_08_2019_Ponto_04,LabISA-INPE,0.6621598
Curuai_2019_08,LabISA-INPE,449,43,AMZ,Curuai,-2.133,-55.5,2019-08-27,16.42,24.0,0.54,,0.0093928552328879,0.0186429199252012,0.0212007798596629,0.0058256331697554,Curuai_08_2019_Ponto_09,LabISA-INPE,0.5237721
Curuai_2019_08,LabISA-INPE,450,43,AMZ,Curuai,-2.122,-55.46,2019-08-27,15.08,17.5,0.6,,0.0090127971155288,0.0172957720659254,0.018919004697288,0.0044828003853955,Curuai_08_2019_Ponto_10,LabISA-INPE,0.5637992
