local_year_month,Unnamed: 0,station_id,B1,B2,B3,B4,B5,B6,B7,B8,B8A,id,organization,region,local,lat,long,date,chla,tss,secchi,acdom440,predicted
Curuai_2014_04,98,Curuai_04_2014_Ponto_17,0.0124286749852144,0.0231459265268564,0.0238816634213369,0.020956036571272,0.0095792579518544,0.0096152797508742,0.0080132952938388,0.0066146170470367,0.0066146170470367,39,LabISA-INPE,AMZ,Curuai,-2.2351,-55.3371,2014-04-13,5.92,18.0,0.65,2.48,0.43719485
Curuai_2014_04,99,Curuai_04_2014_Ponto_18,0.0086586256666702,0.0139533717516301,0.0143486390602746,0.0122076670821774,0.0068008434407472,0.0069426194446353,0.0060195964329567,0.0056350432331477,0.0056350432331477,39,LabISA-INPE,AMZ,Curuai,-2.2592,-55.624,2014-04-14,3.84,7.222,1.0,1.84,0.6710697
Curuai_2014_04,100,Curuai_04_2014_Ponto_19,0.0092822657750765,0.0179628006822382,0.0195930820171169,0.0169274148045992,0.0068909052292506,0.0069454631842025,0.0054928548413632,0.004157048147189,0.004157048147189,39,LabISA-INPE,AMZ,Curuai,-2.2523,-55.5438,2014-04-14,4.24,10.833,0.65,2.08,0.53704107
Curuai_2014_04,101,Curuai_04_2014_Ponto_20,0.0080256861098777,0.0174116917217246,0.0193255078067131,0.0171406254914073,0.0067882469377345,0.0067939006661905,0.0055746618810898,0.0040368690449448,0.0040368690449448,39,LabISA-INPE,AMZ,Curuai,-2.2579,-55.4518,2014-04-14,8.4,18.167,0.6,2.66,0.5651931
Curuai_2014_04,102,Curuai_04_2014_Ponto_21,0.0089422518271601,0.0185921487558731,0.0191726587009397,0.0166330773688968,0.0058426226261718,0.0058510932343535,0.0044711597517081,0.0030365161864328,0.0030365161864328,39,LabISA-INPE,AMZ,Curuai,-2.2217,-55.2701,2014-04-13,10.0,13.833,0.65,2.01,0.5444627
Curuai_2014_04,103,Curuai_04_2014_Ponto_22,0.0109214532062985,0.0220512651840454,0.0213488526672065,0.0195954087316897,0.0075862546004725,0.0074684926682323,0.0059947453456263,0.0041625312398456,0.0041625312398456,39,LabISA-INPE,AMZ,Curuai,-2.2453,-55.2404,2014-04-13,13.84,11.5,0.6,1.77,0.4767692
Curuai_2014_04,104,Curuai_04_2014_Ponto_25,0.0070323330387253,0.0155938246150235,0.0165194307571451,0.0140624930150959,0.0049294932277575,0.0048672401895293,0.0038548159191682,0.002591485662238,0.002591485662238,39,LabISA-INPE,AMZ,Curuai,-2.2812,-55.3732,2014-04-14,6.24,6.167,0.8,1.91,0.6493844
Curuai_2004_06,105,Curuai_06_2004_PCJ01,0.0054404496847675,0.0102063149087822,0.0123454162987599,0.0112822950700947,0.004409742885372,0.0037162685603532,0.00321153055665,0.0022629913620984,0.0022629913620984,41,LabISA-INPE,AMZ,Curuai,-2.158,-55.867802,2004-06-07,8.574,18.876,0.45,,0.57081485
Curuai_2004_06,106,Curuai_06_2004_PCJ02,0.0059726461330463,0.0068972077434852,0.0082258952132378,0.007525603583487,0.0033725332670569,0.0030692026683018,0.0024189598107994,0.0016999601556265,0.0016999601556265,41,LabISA-INPE,AMZ,Curuai,-2.19828,-55.852001,2004-06-07,13.167,9.801,0.8,,0.7116476
Curuai_2004_06,107,Curuai_06_2004_PCJ03,0.0058882805740174,0.0092015208533891,0.0104407500768165,0.0095070348124451,0.0045182201490105,0.0040190768556694,0.0036273154399338,0.0029555373693645,0.0029555373693645,41,LabISA-INPE,AMZ,Curuai,-2.17639,-55.812801,2004-06-08,5.72,18.374,0.4,,0.7269534
