local_year_month,Unnamed: 0,station_id,B1,B2,B3,B4,B5,B6,B7,B8,B8A,id,organization,region,local,lat,long,date,chla,tss,secchi,acdom440,predicted
Acai_2014_04,1,Acai_04_2014_Ponto_01,0.0054219442605754,0.0136662956594452,0.0154894795964734,0.0129361560260295,0.0050472142641282,0.0050165839050511,0.0042080635233701,0.0030386041641441,0.0030386041641441,40,LabISA-INPE,AMZ,Acai,-1.9452,-55.5937,2014-04-12,2.75,16.0,0.6,,0.6853741
Acai_2014_04,2,Acai_04_2014_Ponto_02,0.004703608564389,0.0123499684312216,0.0145549532457527,0.0124441702296994,0.0042779996281235,0.0041824946016784,0.0033318176212636,0.0019880932062319,0.0019880932062319,40,LabISA-INPE,AMZ,Acai,-1.948,-55.5834,2014-04-12,3.47,14.0,0.6,,0.5466193
Acai_2014_04,3,Acai_04_2014_Ponto_03,0.0066428845730065,0.0152384791702571,0.017804822960423,0.0151649506923779,0.0058488784245821,0.0057330781924124,0.0048591926819227,0.0034367153022114,0.0034367153022114,40,LabISA-INPE,AMZ,Acai,-1.9497,-55.5723,2014-04-12,2.39,11.75,0.6,,0.57146823
BuaBua_2016_08,16,BuaBua_07_2016_Ponto_01,0.0031721235047102,0.0047700198510209,0.0043221628270399,0.0035996501047494,0.0016222999260349,0.0014063610372085,0.0011068776620665,0.0007729302743713,0.0007729302743713,92,LabISA-INPE,AMZ,BuaBua,-2.88453,-64.9766,2016-08-01,6.41,6.7145,1.6,2.99,1.2267084
BuaBua_2016_08,17,BuaBua_07_2016_Ponto_01_R,0.0015733601520153,0.0026910748117768,0.0021263826185949,0.00202945891315,0.00068798657751,0.0006157341630693,0.0004792241619695,0.0003199805458171,0.0003199805458171,92,LabISA-INPE,AMZ,BuaBua,-2.88467,-64.9762,2016-08-13,19.325,5.0,1.6,2.39,1.2798059
BuaBua_2016_08,18,BuaBua_07_2016_Ponto_02,0.0023260565311849,0.0035724199750002,0.0030290068747127,0.0023616383102874,0.0008728852272569,0.0006587133708259,0.000418048137025,0.0001241587950018,0.0001241587950018,92,LabISA-INPE,AMZ,BuaBua,-2.90015,-64.986,2016-08-01,2.66,5.5715,1.9,2.83,1.4856197
BuaBua_2016_08,19,BuaBua_07_2016_Ponto_02_R,0.0020476706777469,0.0029806083799098,0.0026180478957955,0.0022055565218331,0.0009433583115388,0.000886037354462,0.0007007061546716,0.0005158530683149,0.0005158530683149,92,LabISA-INPE,AMZ,BuaBua,-2.89962,-64.986,2016-08-13,12.87,3.4285,1.5,2.34,1.2734954
BuaBua_2016_08,21,BuaBua_07_2016_Ponto_03_R,0.0015359530970904,0.0024457239540393,0.0020454270672434,0.001754840507837,0.0006166195078362,0.0005571929108614,0.0004394307162244,0.0003013736516824,0.0003013736516824,92,LabISA-INPE,AMZ,BuaBua,-2.90046,-64.9744,2016-08-13,8.09,3.714,1.7,2.31,1.4930127
BuaBua_2016_08,22,BuaBua_07_2016_Ponto_04,0.0027120707603284,0.0040790047523507,0.0033151415873705,0.0024949205810514,0.0008499641640993,0.0006586195316744,0.000314648833734,5.7018695689547e-05,5.7018695689547e-05,92,LabISA-INPE,AMZ,BuaBua,-2.89226,-64.9801,2016-08-01,3.625,5.714,2.0,3.06,1.5652853
BuaBua_2016_08,23,BuaBua_07_2016_Ponto_04_R,0.0020435210665224,0.0032552765857721,0.0027004579255601,0.0022695587257058,0.0007870552220807,0.0007452461881463,0.0005886683438745,0.0004093816634862,0.0004093816634862,92,LabISA-INPE,AMZ,BuaBua,-2.8924,-64.9806,2016-08-17,10.63,4.0,1.8,2.93,1.2798796
